,Scheme Name,Tag
0,360 ONE Gold ETF,"['Good', '90percent gold']"
1,AXIS BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
2,AXIS Gold ETF,"['Good', '90percent gold']"
3,AXIS Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
4,AXIS Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,OtherTag
5,AXIS Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
6,AXIS Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
7,AXIS Nifty India Consumption ETF,"['Bluechip/Good', '70percent bluechip in equity']"
8,AXIS Nifty500 Value 50 ETF,"['Good', '75percent bluechip and good in equity']"
9,AXIS Silver ETF,"['notag', '90percent Silver']"
10,Aditya Birla SL BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
11,Aditya Birla SL CRISIL Broad Based Gilt ETF,"['Good', '90percent gsec']"
12,Aditya Birla SL CRISIL Liquid Overnight ETF,"['Good', '90percent rev_repo']"
13,Aditya Birla SL Gold ETF,"['Good', '90percent gold']"
14,Aditya Birla SL Nifty 200 Momentum 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
15,Aditya Birla SL Nifty 200 Quality 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
16,Aditya Birla SL Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
17,Aditya Birla SL Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
18,Aditya Birla SL Nifty Healthcare ETF,"['Bluechip/Good', '70percent bluechip in equity']"
19,Aditya Birla SL Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
20,Aditya Birla SL Nifty Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
21,Aditya Birla SL Nifty PSE ETF,"['Bluechip/Good', '70percent bluechip in equity']"
22,Aditya Birla SL Silver ETF,"['notag', '90percent Silver']"
23,BHARAT Bond ETF - April 2030,OtherTag
24,BHARAT Bond ETF - April 2031,OtherTag
